Address,photo_review_status,ai_yard_playability,ai_yard_type,ai_flatness,ai_fenced,ai_privacy,ai_yard_noise_clues,ai_layout_notes,ai_confidence,ai_photo_notes,ai_yard_score,ai_layout_score,ai_privacy_score,ai_fence_score,ai_slope_score,ai_noise_clue_score,ai_photo_url_count
"84 LAURIE CRESCENT, West Vancouver, British Columbia V7S1B7",AI reviewed,Maybe,Lawn and Deck,80,50,70,90,"Indoor layout is family-friendly with open spaces and sliding doors to deck, providing access and visibility to outdoor area.",75,"Front yard shows neat lawn with some slope near driveway. Backyard visible from deck appears to drop off steeply into trees, which may limit flat play areas. No clear fence visible in photos. Privacy seems good with thick trees surrounding backyard. No visible roads or highways, indicating low noise.",70,85,70,50,80,90,12
"1256 EASTVIEW ROAD, North Vancouver, British Columbia V7J1L6",AI reviewed,Maybe,Grass lawn with some patio area,Mostly flat,Partial wooden fence seen,Moderate privacy with some trees and fencing,Minimal visible noise sources,Family friendly open layout seen in kitchen and living/dining areas with good flow and natural light,Cautious due to limited view of entire yard and outdoor play-specific features,"Yard is grassy and flat enough for toddlers but no dedicated play structures seen. Layout inside looks family-friendly. Fencing is partial, providing some enclosure but yard not fully contained. No strong road or traffic noise visible from images. Overall nice, but unsure about full yard size and dedicated play space.",70,80,60,55,85,85,12
"1073 CLYDE AVENUE, West Vancouver, British Columbia V7T1E3",AI reviewed,Maybe,Mixed (deck and grass yard),80,50,60,60,"The home has a large outdoor deck space suitable for family gatherings and play, complemented by a green grassy backyard that is fairly flat. The deck is spacious with ample seating and overlooks a view. Interior photos show an open family-friendly kitchen and dining layout.",70,"Deck area is not toddler-playable but offers a safe contained outdoor space. The yard is mostly grass and flat, good for toddlers. Fencing is unclear but there are some bushes and natural barriers for partial privacy. Noise clues from visible power lines and distant roads score moderate. Home layout appears open and family-friendly from interior photos.",75,80,60,50,80,60,12
"547 TEMPE CRESCENT, North Vancouver, British Columbia V7N1E7",AI reviewed,Maybe,Concrete patio and possibly a small grass patch,Flat,False,Moderate,Quiet with no visible road or highway intrusion,The house has a family-friendly layout with open living and dining areas visible from photos. Large windows bring natural light and outdoor views inside.,85,"Yard playability is limited based on visible hardscape and small grass patch only visible in front. Backyard or side yard not visible, so full assessment not possible. No visible fence for toddler containment. The outdoor patio space is flat and covered with a roof, which is good for play area weather-wise. Privacy seems moderate with stone walls seen through windows and some shielding, but no full fencing or complete seclusion shown. Noise does not appear to be a concern based on no visible major roads or highways.",60,80,60,25,95,90,12
"560 CRAIGMOHR DRIVE, West Vancouver, British Columbia V7S1W9",AI reviewed,Maybe,Patio with garden,70,40,Moderate,Moderate,"The outdoor patio is flat with stone paving, good for toddler play but appears limited in size. There is no clear fully fenced yard visible, only partial wooden lattice fencing visible on patio edges. Privacy is moderate with lush vegetation and somewhat secluded yard glimpses but nearby roads and homes are seen. Noise clues are limited with no direct road seen close but some roads shown below in valley.",Medium - outdoor space is mostly patio with garden plants; limited photos of full yard or fence; noise clues based on aerial views.,"The yard is primarily stone patio with surrounding gardens and some greenery providing moderate privacy. No full playground equipment or wide grassy jumbo yard is visible. The overall terrain is sloped but patio area flat. There is no strong visible noise disturbance evident, but some road presence in distance. No clear full fencing for toddler containment.",60,65,60,40,70,60,12
"744 KILKEEL PLACE, North Vancouver, British Columbia V7N2X1",AI reviewed,Maybe,Front yard with lawn and paved path,Mostly flat with slight steps,No clear fence visible,Medium privacy due to hedges and shrubs,No visible road or highway noise concerns,Open living and dining space with large windows overlooking yard; kitchen layout is modern and family-friendly,75,"Yard appears mostly flat but has steps; fenced status unclear, assumed no full fence; good natural greenery provides some privacy; interior layout is spacious, open, and suitable for families; no noise sources visible in yard photo but front yard rather than backyard",65,80,60,20,70,90,12
"962 WHITCHURCH STREET, North Vancouver, British Columbia V7L2A6",AI reviewed,Great,Lawn with garden beds,Flat,Yes,Partial,Low,"Open family-friendly interior living space with good flow from living to kitchen and dining areas, visible backyard access",90,"The yard is flat, spacious, and well-maintained with a lawn area suitable for toddlers. There is fencing on the sides providing containment. Privacy is moderate with neighboring houses nearby but some privacy from plants and fencing. Noise clues show a quiet residential street rather than a busy road. Layout inside shows a family-friendly flow from living space to yard. Some assumptions made on privacy and fenced coverage based on visible areas.",85,80,60,75,90,80,12
"310 MACBETH CRESCENT, West Vancouver, British Columbia V7T1V7",AI reviewed,Maybe,Lawn with some landscaping,Moderate,No,Moderate,Moderate,Open family-friendly living and dining layout with good natural light; kitchen also visible,Moderate,"Front yard is visible with some flat lawn area but no obvious fence for containment. No backyard photos provided. Proximity to street and visible driveway may affect noise and privacy. Interior layout appears open and family-friendly with connected living, dining, and kitchen spaces.",60,80,60,20,70,60,12
"741 E 14TH STREET, North Vancouver, British Columbia V7L2P3",AI reviewed,Maybe,Grass yard,Flat,Yes,Medium,Low,"Open living room with large windows and balcony access; visible dining room adjacent to kitchen; some division between rooms, family-friendly",80,Yard is grassy and fenced with a small patio; good flat space for toddler play. Fence is wooden and moderately tall. Privacy is moderate with visible neighboring houses close by but fenced. No visible highways or noisy roads. Interior shows a family-friendly layout with open views to the yard and adjacent dining/kitchen areas. Some uncertainty about indoor play space suitability as no bedrooms shown.,70,75,50,80,90,90,12
"1119 CLOVERLEY STREET, North Vancouver, British Columbia V7L1N7",AI reviewed,Maybe,Grass lawn,Mostly flat,No visible fence,Moderate privacy with tall hedges and trees on sides,"Quiet residential setting, no visible roads/highways","Open family-friendly layout with dining and living areas visible, kitchen connected and modern",80,Yard is a grass lawn with no visible fence; privacy is moderate due to trees and hedges; yard appears mostly flat but the slope at the stairway by the side is unknown; no obvious noise sources seen; home interior shows an open and family-friendly layout.,70,85,65,20,70,85,12
